<c>,PC,PD,F
0.99025,3820.0,11.0,169.0
0.889,1334.0,0.0,2666.0
0.8475,1034.0,1.0,2965.0
0.64175,122.0,1.0,3877.0
0.66775,103.0,3.0,3894.0
0.5415,88.0,0.0,3912.0
0.68075,350.0,0.0,3650.0
0.608,186.0,0.0,3814.0
0.5985,59.0,4.0,3937.0
0.42525,36.0,6.0,3958.0
0.25825,54.0,2.0,3944.0
0.3735,61.0,14.0,3925.0
0.674,412.0,2.0,3586.0
0.20525,37.0,10.0,3953.0
0.26725,75.0,38.0,3887.0
0.24875,52.0,29.0,3919.0
0.18225,19.0,205.0,3776.0
0.255,20.0,116.0,3864.0
0.15425,18.0,307.0,3675.0
0.172,19.0,335.0,3646.0
0.0925,21.0,1632.0,2347.0
0.06825,11.0,1604.0,2385.0
0.10275,12.0,1046.0,2942.0
0.068,12.0,1176.0,2812.0
0.0865,24.0,1566.0,2410.0
0.07775,7.0,1255.0,2738.0
0.079,9.0,1600.0,2391.0
0.0715,8.0,1798.0,2194.0
0.08325,15.0,1134.0,2851.0
0.0755,14.0,1442.0,2544.0
0.052,13.0,2236.0,1751.0
0.0815,11.0,1814.0,2175.0
0.0485,5.0,2279.0,1716.0
0.033,6.0,2887.0,1107.0
0.04075,7.0,2704.0,1289.0
0.035,4.0,3046.0,950.0
0.03675,6.0,2833.0,1161.0
0.03975,9.0,2483.0,1508.0
0.04075,4.0,2852.0,1144.0
0.03075,6.0,3123.0,871.0
0.02775,3.0,3188.0,809.0
0.03125,5.0,3198.0,797.0
0.022,2.0,3533.0,465.0
0.02825,4.0,3329.0,667.0
0.02625,3.0,3190.0,807.0
0.02225,4.0,3434.0,562.0
0.03775,4.0,3240.0,756.0
0.02425,3.0,3406.0,591.0
