<c>,PC,PD,F
0.893,1451.0,89.0,2460.0
0.8355,701.0,74.0,3225.0
0.8125,510.0,77.0,3413.0
0.65025,208.0,84.0,3708.0
0.578,133.0,78.0,3789.0
0.54725,121.0,84.0,3795.0
0.4585,87.0,90.0,3823.0
0.506,133.0,76.0,3791.0
0.42325,74.0,97.0,3829.0
0.37475,36.0,100.0,3864.0
0.24925,50.0,419.0,3531.0
0.20375,31.0,396.0,3573.0
0.22025,59.0,371.0,3570.0
0.2175,61.0,320.0,3619.0
0.18875,38.0,444.0,3518.0
0.215,44.0,500.0,3456.0
0.13425,36.0,532.0,3432.0
0.146,28.0,807.0,3165.0
0.13625,33.0,786.0,3181.0
0.12025,21.0,1162.0,2817.0
0.06775,16.0,1949.0,2035.0
0.07075,22.0,1373.0,2605.0
0.0955,30.0,1435.0,2535.0
0.0625,19.0,1996.0,1985.0
