<c>,PC,PD,F
0.91875,2304.0,66.0,1630.0
0.92825,2136.0,44.0,1820.0
0.7985,716.0,67.0,3217.0
0.83375,576.0,67.0,3357.0
0.76925,489.0,61.0,3450.0
0.6385,198.0,67.0,3735.0
0.62625,204.0,74.0,3722.0
0.60075,129.0,78.0,3793.0
0.5305,126.0,73.0,3801.0
0.46675,101.0,72.0,3827.0
0.354,94.0,224.0,3682.0
0.3245,57.0,281.0,3662.0
0.336,67.0,257.0,3676.0
0.2625,63.0,253.0,3684.0
0.21725,34.0,312.0,3654.0
0.1575,36.0,460.0,3504.0
0.154,39.0,493.0,3468.0
0.13075,46.0,646.0,3308.0
0.163,33.0,565.0,3402.0
0.1855,42.0,523.0,3435.0
0.15025,33.0,1099.0,2868.0
0.108,21.0,1262.0,2717.0
0.1285,18.0,1113.0,2869.0
0.11,17.0,1441.0,2542.0
