<c>,PC,PD,F
0.6065,67.0,2.0,3931.0
0.37975,107.0,11.0,3882.0
0.362,78.0,27.0,3895.0
0.411,82.0,4.0,3914.0
0.28625,52.0,57.0,3891.0
0.366,39.0,11.0,3950.0
0.29125,67.0,27.0,3906.0
0.2545,37.0,113.0,3850.0
0.221,26.0,267.0,3707.0
0.25375,26.0,179.0,3795.0
0.1175,24.0,812.0,3164.0
0.13075,31.0,510.0,3459.0
0.1525,48.0,350.0,3602.0
0.1805,44.0,518.0,3438.0
0.1355,23.0,833.0,3144.0
0.1125,17.0,1032.0,2951.0
0.087,19.0,1037.0,2944.0
0.14575,10.0,930.0,3060.0
0.12425,30.0,820.0,3150.0
0.12275,30.0,875.0,3095.0
0.07725,15.0,1547.0,2438.0
0.08025,24.0,1796.0,2180.0
0.1,22.0,1632.0,2346.0
0.07825,27.0,1864.0,2109.0
