<c>,PC,PD,F
0.87,1389.0,2.0,2609.0
0.81575,713.0,6.0,3281.0
0.88375,531.0,1.0,3468.0
0.84525,779.0,5.0,3216.0
0.74425,314.0,1.0,3685.0
0.60575,159.0,9.0,3832.0
0.61575,131.0,8.0,3861.0
0.55775,44.0,8.0,3948.0
0.6509999999999999,103.0,4.0,3893.0
0.51475,81.0,10.0,3909.0
0.6065,67.0,2.0,3931.0
0.37975,107.0,11.0,3882.0
0.36200000000000004,78.0,27.0,3895.0
0.41100000000000003,82.0,4.0,3914.0
0.28625,52.0,57.0,3891.0
0.366,39.0,11.0,3950.0
0.29125,67.0,27.0,3906.0
0.2545,37.0,113.0,3850.0
0.221,26.0,267.0,3707.0
0.25375,26.0,179.0,3795.0
0.1175,24.0,812.0,3164.0
0.13075,31.0,510.0,3459.0
0.1525,48.0,350.0,3602.0
0.1805,44.0,518.0,3438.0
0.1355,23.0,833.0,3144.0
0.1125,17.0,1032.0,2951.0
0.087,19.0,1037.0,2944.0
0.14575,10.0,930.0,3060.0
0.12425,30.0,820.0,3150.0
0.12275,30.0,875.0,3095.0
0.07725,15.0,1547.0,2438.0
0.08025,24.0,1796.0,2180.0
0.1,22.0,1632.0,2346.0
0.07825,27.0,1864.0,2109.0
0.05325,5.0,2269.0,1726.0
0.04125,4.0,3170.0,826.0
0.02775,4.0,3147.0,849.0
0.023,3.0,3497.0,500.0
0.02325,4.0,3285.0,711.0
0.0555,6.0,2703.0,1291.0
0.03625,6.0,3228.0,766.0
0.02075,3.0,3527.0,470.0
0.0215,3.0,3534.0,463.0
0.01375,2.0,3691.0,307.0
0.02875,6.0,3282.0,712.0
0.015,2.0,3551.0,447.0
