<c>,PC,PD,F
0.836,636.0,0.0,3364.0
0.74125,127.0,2.0,3871.0
0.69775,101.0,3.0,3896.0
0.6385,88.0,3.0,3909.0
0.59925,52.0,7.0,3941.0
0.57225,52.0,6.0,3942.0
0.4725,27.0,11.0,3962.0
0.4415,18.0,11.0,3971.0
0.4525,20.0,8.0,3972.0
0.365,24.0,17.0,3959.0
0.17675,13.0,61.0,3926.0
0.2155,13.0,131.0,3856.0
0.225,22.0,56.0,3922.0
0.16925,10.0,61.0,3929.0
0.23925,18.0,127.0,3855.0
0.111,10.0,512.0,3478.0
0.13775,8.0,593.0,3399.0
0.103,9.0,526.0,3465.0
0.107,14.0,213.0,3773.0
0.06425,13.0,816.0,3171.0
0.02875,3.0,2723.0,1274.0
0.04675,9.0,1731.0,2260.0
0.0195,4.0,3351.0,645.0
0.027,8.0,3187.0,805.0
0.03725,3.0,1832.0,2165.0
0.03975,4.0,2034.0,1962.0
0.05375,9.0,2547.0,1444.0
0.02175,2.0,3318.0,680.0
0.02525,5.0,2734.0,1261.0
0.04225,3.0,2681.0,1316.0
0.013,4.0,2945.0,1051.0
0.01625,2.0,3498.0,500.0
0.01025,2.0,3721.0,277.0
0.00525,1.0,3834.0,165.0
0.0125,2.0,3727.0,271.0
0.01275,1.0,3775.0,224.0
0.016,2.0,3684.0,314.0
0.013,2.0,3733.0,265.0
0.003,1.0,3883.0,116.0
0.01275,3.0,3668.0,329.0
0.013,2.0,3679.0,319.0
0.00475,0.0,3922.0,78.0
0.00525,1.0,3794.0,205.0
0.00525,0.0,3890.0,110.0
0.00475,0.0,3917.0,83.0
0.0045,1.0,3892.0,107.0
0.00525,0.0,3915.0,85.0
0.006,1.0,3900.0,99.0
