<c>,PC,PD,F
0.87275,1209.0,86.0,2705.0
0.8655,1021.0,68.0,2911.0
0.75025,381.0,76.0,3543.0
0.74575,386.0,81.0,3533.0
0.69125,281.0,67.0,3652.0
0.56325,146.0,94.0,3760.0
0.56075,144.0,76.0,3780.0
0.51925,108.0,91.0,3801.0
0.379,60.0,110.0,3830.0
0.47975,90.0,96.0,3814.0
0.292,79.0,324.0,3597.0
0.26575,71.0,262.0,3667.0
0.24075,75.0,317.0,3608.0
0.22975,43.0,441.0,3516.0
0.20825,43.0,391.0,3566.0
0.19025,50.0,496.0,3454.0
0.17225,45.0,616.0,3339.0
0.1375,42.0,749.0,3209.0
0.12575,27.0,609.0,3364.0
0.13475,32.0,724.0,3244.0
0.10625,31.0,1390.0,2579.0
0.09425,41.0,1514.0,2445.0
0.09925,23.0,1594.0,2383.0
0.067,19.0,1617.0,2364.0
